name,strain,sex,ps,q,rSquare,m,b,m_CI_L,m_CI_U,b_CI_L,b_CI_U,dvleft,dvcranial,dvmiddle,dvcaudal,dvaccessory,near_acini_mean,near_acini_std,near_acini_skewness,near_acini_median
m01,B6C3F1,M,1,A,0.993985937,1.646644523,3.611113231,1.499399661,1.793889385,3.451296738,3.770929724,0.997628927,1.107738095,0.853107345,1.030022239,0.927722772,1.191929548,0.37748647,0.00547328,1.17722
m02,B6C3F1,F,1,A,0.994595564,1.625348235,3.550125431,1.487613084,1.763083386,3.400630578,3.699620284,1.032949953,1.070362473,0.980707395,0.922880117,0.995685005,1.242220545,0.358820934,-0.006759097,1.23011
m03,BALB/c,M,1,B,0.99464342,1.598632434,3.538248426,1.463765612,1.733499256,3.391866797,3.684630055,1.105426795,1.136284217,0.94887684,0.798524845,0.976082005,1.139710802,0.363902966,0.028335207,1.0971
m04,CD-1,M,1,B,0.994189223,1.544783279,3.453531295,1.409015545,1.680551014,3.306171835,3.600890756,1.183363148,1.036119711,0.748366013,0.907400521,0.837735849,1.179729566,0.373131037,0.039716649,1.121035
m05,CD-1,M,1,B,0.993920171,1.601627468,3.554731042,1.457622369,1.745632566,3.39843092,3.711031164,1.317191283,1.073766234,0.78778135,0.673598218,0.94251497,1.216883527,0.505915246,0.07974993,1.09898
m06,B6C3F1,F,1,B,0.994493144,1.652797736,3.571052209,1.511408253,1.794187218,3.417591024,3.724513395,1.083617219,1.128760529,0.966386555,0.938018018,0.738536585,1.221183065,0.3262818,0.009439742,1.2403
m07,C57BL/6,M,1,A,0.994506594,1.616848398,3.538297436,1.478704173,1.754992624,3.388358584,3.688236287,1.174058323,1.278218426,0.800498753,0.778708551,0.845154845,1.244887218,0.506637389,0.18903738,1.16768
m08,C57BL/6,F,1,A,0.994730972,1.641747532,3.553261995,1.50438597,1.779109094,3.404172629,3.702351361,0.80619195,1.245847176,1.356395817,0.960878518,0.934115523,1.265767098,0.484447206,0.057415023,1.20218
m09,BALB/c,F,1,A,0.994217282,1.600750087,3.510882506,1.460405615,1.741094559,3.35855555,3.663209461,1.073516386,1.086444008,1.014626636,0.851587585,1.016276704,1.166779745,0.342141496,-0.006594697,1.181865
m10,BALB/c,F,1,A,0.99460939,1.596442147,3.503705994,1.46133065,1.731553643,3.357058802,3.650353186,0.994920993,1.342417062,0.845351868,0.962140517,0.68045977,1.16595979,0.411103308,0.049875264,1.14523
m11,B6C3F1,M,1,A,0.994375599,1.616551956,3.548045037,1.47678677,1.756317142,3.396346828,3.699743246,1.051816557,1.063305979,1.235993209,0.831103074,0.907258065,1.257380444,0.403731281,-0.007601134,1.27907
m12,CD-1,F,1,B,0.9940543,1.614855719,3.553759446,1.471281459,1.758429979,3.397926947,3.709591945,0.950904393,1.358115183,0.935023772,0.8816609,0.870699881,1.186692204,0.404942096,0.026760193,1.19296
m13,CD-1,F,1,A,0.994076917,1.624058999,3.569686537,1.479943015,1.768174983,3.413266062,3.726107013,1.050160772,1.055740829,1.098728497,0.878144654,0.896589659,1.194061054,0.354828492,-0.008049256,1.23869
m14,C57BL/6,M,1,A,0.993958374,1.622751923,3.606170975,1.477309407,1.768194439,3.448310711,3.76403124,1.143470264,1.259218492,0.683630195,0.889549109,0.715419501,1.21289721,0.496947299,0.081605368,1.11472
m15,B6C3F1,M,2,B,0.995214516,1.643352298,3.599618077,1.51234917,1.774355427,3.457430021,3.741806133,1.028732227,1.633267845,0.656660413,0.912773603,0.555211558,1.137653954,0.685434292,0.723925753,0.946863
m16,C57BL/6,M,2,A,0.994939046,1.66640269,3.618787292,1.529773236,1.803032145,3.470492538,3.767082046,0.713612257,1.368263473,1.165048544,1.087250712,0.923694779,1.232900009,0.50852216,0.141700548,1.156365
m17,C57BL/6,F,2,A,0.994857594,1.638361167,3.567788478,1.502948657,1.773773677,3.420814571,3.714762384,1.493016345,1.005671078,0.55107084,0.67988768,0.785786802,1.268403639,0.674771249,0.274384183,1.13374
m18,CD-1,F,2,B,0.994289109,1.578003334,3.486333001,1.440520041,1.715486627,3.33711151,3.635554492,0.942932109,1.625138427,0.744057052,0.818048959,0.883173496,1.180576753,0.619049916,0.394645962,1.03554
m19,C57BL/6,M,2,B,0.994697623,1.660989017,3.616125094,1.521576118,1.800401916,3.46480925,3.767440938,0.890795632,2.233234421,0.748735245,0.644102564,0.61,1.190627328,0.845633987,1.198759542,0.92466
m20,B6C3F1,F,2,A,0.994676971,1.644420834,3.59759785,1.506128605,1.782713063,3.447498356,3.747697343,0.867088608,1.715155204,0.761300555,0.95008489,0.689516129,1.208613333,0.587689535,0.205286843,1.09643
m21,CD-1,M,2,B,0.994173112,1.60684042,3.55456837,1.465421833,1.748259007,3.401075593,3.708061146,1.090194846,1.335181452,0.606110652,0.940399849,0.674562307,1.203545454,0.573064429,0.111133919,1.12706
m22,B6C3F1,M,2,A,0.994678953,1.629740113,3.558407676,1.492708149,1.766772078,3.409676047,3.707139305,1.00562963,1.302824859,0.924050633,0.954545455,0.653144016,1.240477997,0.478016886,0.057015892,1.151575
m23,C57BL/6,F,2,A,0.994724946,1.639211071,3.583654254,1.501982898,1.776439243,3.434709666,3.732598842,1.258358663,1.04238806,0.9192,0.753047719,0.878555799,1.195542589,0.509257133,0.199752725,1.074855
m24,B6C3F1,F,2,B,0.994418069,1.625960663,3.583399078,1.485916765,1.766004562,3.43139836,3.735399796,1.024622961,1.260162602,1.05107084,0.835831549,0.872529644,1.18921818,0.480290863,0.184116844,1.13056
m25,BALB/c,F,2,C,0.995263211,1.614507725,3.452755753,1.486463623,1.742551828,3.313779362,3.591732144,1.065384615,1.188472622,0.786910198,0.821199143,1.303385417,1.123891816,0.393532071,0.107651132,1.06938
m26,BALB/c,F,2,A,0.994240444,1.637465403,3.575872365,1.494191418,1.780739389,3.420365778,3.731378952,1.082856282,1.221311475,0.984351714,0.804325438,0.95952381,1.191691059,0.503219922,0.12406441,1.12806
m27,BALB/c,M,2,A,0.994732652,1.632968739,3.5591737,1.496363576,1.769573901,3.410905313,3.707442086,1.136552873,1.283617146,0.931957187,0.691267388,0.892230576,1.06537497,0.615024092,0.427759362,0.881766
m28,BALB/c,M,2,B,0.994791289,1.618679888,3.539231063,1.484029835,1.753329942,3.393084711,3.685377415,1.036955927,1.079075426,1.157974301,0.791504287,1.074938575,1.085918713,0.380527984,0.017863593,1.043555
m29,CD-1,F,2,A,0.994393674,1.621911786,3.558426523,1.481909967,1.761913606,3.406471477,3.710381569,0.963607085,1.826985854,0.891613924,0.640148699,0.724637681,1.127091079,0.639048878,0.472212523,0.963653
m30,BALB/c,M,1,B,0.994737176,1.636119709,3.587879202,1.499310048,1.77292937,3.439388858,3.736369546,0.994530538,1.160188457,1.102503912,0.895692417,0.900325027,1.164399817,0.368777661,0.008076627,1.133815
m31,C57BL/6,F,1,A,0.994564712,1.6561481,3.595627177,1.515400706,1.796895494,3.442862899,3.748391455,1.008709176,1.282345443,0.963680387,0.884628099,0.918067227,1.209091697,0.374585994,0.029364005,1.17595
m32,BALB/c,F,0.5,A,0.994411426,1.62119679,3.533462304,1.481479677,1.760913902,3.381816272,3.685108335,1.161800487,1.103569339,0.905172414,0.813124108,0.930660888,1.169421919,0.375887663,0.036678011,1.13819
m33,BALB/c,F,0.5,B,0.994560924,1.59161769,3.48063916,1.456307012,1.726928368,3.333775781,3.627502539,0.948444444,1.117222222,1.104732351,0.933900271,0.998946259,1.16392692,0.314270467,0.010363679,1.15895
m34,BALB/c,M,0.5,B,0.994623264,1.629404494,3.572309676,1.491681834,1.767127154,3.42282838,3.721790972,0.994721408,1.185660781,0.973980919,0.922407267,0.897518878,1.12251963,0.334963542,0.035452911,1.10205
