name,strain,sex,wt,ps,q,dvleft,dvcranial,dvmiddle,dvcaudal,dvaccessory,RR_Pre,RR_P1,RR_P2,fractal4,fractal5
m01,B6C3F1,M,NULL,1,A,0.997628927,1.107738095,0.853107345,1.030022239,0.927722772,166,168.2,159.1,-0.758979572,-0.72437978
m02,B6C3F1,F,19.5,1,A,1.032949953,1.070362473,0.980707395,0.922880117,0.995685005,158.4,140.1,158.5,-0.858351888,-0.722223483
m03,BALB/c,M,23.8,1,B,1.105426795,1.136284217,0.94887684,0.798524845,0.976082005,278.5,303.7,178.7,-0.532186264,-0.584457332
m04,CD-1,M,24.4,1,B,1.183363148,1.036119711,0.748366013,0.907400521,0.837735849,135,96.6,98.6,-0.67389305,-0.654448736
m05,CD-1,M,NULL,1,B,1.317191283,1.073766234,0.78778135,0.673598218,0.94251497,135.4,122.5,137.4,-0.802996717,-0.714988715
m06,B6C3F1,F,21,1,B,1.083617219,1.128760529,0.966386555,0.938018018,0.738536585,132.7,133.7,203.1,-0.715020297,-0.725182563
m07,C57BL/6,M,24.1,1,A,1.174058323,1.278218426,0.800498753,0.778708551,0.845154845,272.3,218.9,224.6,-0.756980463,-0.675780312
m08,C57BL/6,F,23,1,A,0.80619195,1.245847176,1.356395817,0.960878518,0.934115523,240.6,210.6,178,-0.749830878,-0.690616133
m09,BALB/c,F,23.7,1,A,1.073516386,1.086444008,1.014626636,0.851587585,1.016276704,221.7,216,234.5,-0.720949358,-0.763294808
m10,BALB/c,F,NULL,1,A,0.994920993,1.342417062,0.845351868,0.962140517,0.68045977,236.4,228.8,229.8,-0.642849795,-0.655153855
m11,B6C3F1,M,23.4,1,A,1.051816557,1.063305979,1.235993209,0.831103074,0.907258065,259.1,203.1,231.5,-0.787338938,-0.698090993
m12,CD-1,F,24.5,1,B,0.950904393,1.358115183,0.935023772,0.8816609,0.870699881,219.2,241.6,188.8,-0.618979819,-0.659959658
m13,CD-1,F,23.4,1,A,1.050160772,1.055740829,1.098728497,0.878144654,0.896589659,160.5,119.9,114.2,-0.776092964,-0.730320505
m14,C57Bl/6,M,NULL,1,A,1.143470264,1.259218492,0.683630195,0.889549109,0.715419501,259.2,253.3,215.3,-0.598634634,-0.641847985
m15,B6C3F1,M,23.8,2,B,1.028732227,1.633267845,0.656660413,0.912773603,0.555211558,221.9,182,190.9,-0.419582713,-0.392180608
m16,C57BL/6,M,22,2,A,0.713612257,1.368263473,1.165048544,1.087250712,0.923694779,285.6,281.2,270.1,-0.748940467,-0.669486612
m17,C57BL/6,F,NULL,2,A,1.493016345,1.005671078,0.55107084,0.67988768,0.785786802,280.9,238.9,197.2,-0.821406006,-0.674080752
m18,CD-1,F,23.2,2,B,0.942932109,1.625138427,0.744057052,0.818048959,0.883173496,243.9,198.9,201.2,-0.542921076,-0.499932811
m19,C57BL/6,M,24.5,2,B,0.890795632,2.233234421,0.748735245,0.644102564,0.61,275.8,264.4,232.8,-0.599045989,-0.49144367
m20,B6C3F1,F,19.9,2,A,0.867088608,1.715155204,0.761300555,0.95008489,0.689516129,165.8,189,219.2,-0.538523898,-0.522262998
m21,CD-1,M,26,2,B,1.090194846,1.335181452,0.606110652,0.940399849,0.674562307,196.6,173.9,166.5,-0.542116195,-0.506875662
m22,B6C3F1,M,23.6,2,A,1.00562963,1.302824859,0.924050633,0.954545455,0.653144016,202.5,196.4,203.7,-0.724959824,-0.628779285
m23,C57BL/6,F,19.9,2,A,1.258358663,1.04238806,0.9192,0.753047719,0.878555799,257.7,231.3,208.7,-0.670393443,-0.572262066
m24,B6C3F1,F,20.7,2,B,1.024622961,1.260162602,1.05107084,0.835831549,0.872529644,252.2,232,211.3,-0.708729037,-0.681451977
m25,BALB/c,F,21.9,2,C,1.065384615,1.188472622,0.786910198,0.821199143,1.303385417,247.8,234.5,204.5,-0.799799188,-0.547978466
m26,BALB/c,F,22.3,2,A,1.082856282,1.221311475,0.984351714,0.804325438,0.95952381,220.8,190.9,240.9,-0.544438521,-0.518248354
m27,BALB/c,M,24.4,2,A,1.136552873,1.283617146,0.931957187,0.691267388,0.892230576,277.3,237.1,231.2,-0.51620361,-0.444809935
m28,BALB/c,M,25.3,2,B,1.036955927,1.079075426,1.157974301,0.791504287,1.074938575,260.5,231.9,226.2,-0.693929398,-0.682043657
m29,CD-1,F,24.9,2,A,0.963607085,1.826985854,0.891613924,0.640148699,0.724637681,242.5,220.3,196.1,-0.655310227,-0.62304618
m30,BALB/c,M,23.4,1,B,0.994530538,1.160188457,1.102503912,0.895692417,0.900325027,NULL,257.5,234.9,-0.615949285,-0.663262081
m31,C57BL/6,F,22.7,1,A,1.008709176,1.282345443,0.963680387,0.884628099,0.918067227,254.1,244.4,257.4,-0.775822215,-0.765928067
m32,BALB/c,F,23,0.5,A,1.161800487,1.103569339,0.905172414,0.813124108,0.930660888,237.2,243.8,232.3,-0.801219919,-0.720971207
m33,BALB/c,F,20.7,0.5,B,0.948444444,1.117222222,1.104732351,0.933900271,0.998946259,232.7,222,195.1,-0.791275165,-0.757758317
m34,BALB/c,M,25.3,0.5,B,0.994721408,1.185660781,0.973980919,0.922407267,0.897518878,235.2,167.7,163.8,-0.724112947,-0.694732792
