id,n,slope,rsq
m01,146,-0.724379779614129,0.681141286049205
m02,131,-0.722223482828602,0.575445243536223
m03,132,-0.584457331537519,0.355083260347425
m04,141,-0.654448736438837,0.593703589087455
m05,138,-0.714988714739486,0.654410157339041
m06,148,-0.72518256328417,0.600782584825123
m07,140,-0.675780311584256,0.647444855424387
m08,135,-0.690616133184653,0.627880487646831
m09,126,-0.763294807590574,0.606432831290034
m10,132,-0.655153854620966,0.530799553947002
m11,144,-0.698090992837604,0.707243557655675
m12,146,-0.659959658221548,0.638711668407125
m13,145,-0.730320504794979,0.667298450493331
m14,149,-0.641847985082807,0.580715586656076
m15,116,-0.392180608339772,0.328781410150614
m16,119,-0.669486611624046,0.486806614332529
m17,123,-0.674080752346495,0.535405295042037
m18,133,-0.499932811000936,0.348129129179642
m19,130,-0.49144366975652,0.435386509020069
m20,123,-0.522262998420557,0.463908026674294
m21,133,-0.506875661679612,0.37111952923118
m22,132,-0.628779285268895,0.555754643131375
m23,125,-0.57226206596933,0.383774334813854
m24,127,-0.681451977061079,0.563002127742027
m25,118,-0.547978466146833,0.259689339778874
m26,144,-0.518248353863305,0.226766874494346
m27,141,-0.444809935411802,0.330386305182521
m28,141,-0.682043656860366,0.648547521929539
m29,147,-0.623046180342009,0.616586294319681
m30,143,-0.663262080917345,0.582222944012735
m31,140,-0.765928066692685,0.710564177394646
m32,143,-0.720971206712835,0.622610465743678
m33,131,-0.757758316573417,0.575715346404529
m34,141,-0.694732792462894,0.629601044736766
